#,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,HOU,162,106,56,53,642,162,1445.1,9.49,2.85,0.83,0.268,77.20%,42.70%,9.30%,94.4,2.9,,3.28,3.55,26.5
2,LAD,162,111,51,43,725,162,1451.1,9.08,2.52,0.94,0.255,78.30%,42.50%,9.80%,93.2,2.8,,3.45,3.67,25
3,PHI,162,87,75,42,678,162,1428.1,8.97,2.92,0.95,0.302,71.20%,44.20%,10.60%,94.4,3.98,,3.6,3.7,22.9
4,ATL,162,101,61,55,680,162,1448,9.66,3.11,0.92,0.286,74.60%,43.50%,10.40%,94.7,3.46,,3.46,3.58,22.7
5,NYM,162,101,61,41,645,162,1438.2,9.79,2.68,1.06,0.297,76.00%,43.30%,11.80%,94.3,3.58,,3.5,3.45,21.1
6,SFG,162,81,81,39,738,162,1433,8.6,2.77,0.83,0.31,70.00%,47.70%,9.80%,94.5,3.86,,3.43,3.63,19.9
7,NYY,162,99,63,47,669,162,1451.2,9.05,2.75,0.97,0.268,76.30%,44.10%,10.70%,95.1,3.3,,3.56,3.64,19.6
8,SDP,162,89,73,48,649,162,1443.1,9.05,2.92,1.08,0.282,73.50%,41.20%,11.10%,94.3,3.81,,3.82,3.86,18.5
9,CHW,162,81,81,48,711,162,1447.2,9.01,3.31,1.03,0.295,71.20%,41.50%,10.50%,94.5,3.94,,3.81,3.93,17.6
10,CLE,162,92,70,51,669,162,1456,8.59,2.69,1.06,0.274,73.80%,42.50%,11.20%,93.3,3.47,,3.75,3.78,17.6
11,TOR,162,92,70,46,746,162,1441.1,8.68,2.65,1.12,0.295,73.40%,41.40%,11.40%,93.8,3.89,,3.85,3.84,16.7
12,TBR,162,86,76,44,734,162,1435.2,8.68,2.41,1.08,0.277,74.60%,42.50%,11.20%,94.2,3.41,,3.68,3.71,16.5
13,LAA,162,73,89,38,652,162,1435.2,8.67,3.39,1.05,0.276,73.10%,42.20%,11.10%,94.1,3.79,,3.96,4,16.5
14,MIL,162,86,76,52,710,162,1446,9.52,3.24,1.18,0.28,73.00%,43.80%,13.40%,93.1,3.83,,3.92,3.66,15
15,MIA,162,69,93,41,694,162,1437.1,9,3.2,1.08,0.295,73.80%,44.60%,12.60%,94.5,3.87,,3.9,3.75,14.3
16,STL,162,93,69,37,628,162,1435.2,7.38,3.07,0.92,0.287,74.20%,47.20%,10.70%,93.8,3.79,,3.94,4.03,14
17,SEA,162,90,72,40,698,162,1447,8.65,2.78,1.16,0.279,76.10%,39.80%,11.20%,93.8,3.59,,3.9,3.93,13.7
18,COL,162,68,94,43,659,162,1425.1,7.5,3.4,1.16,0.312,66.90%,44.10%,12.10%,94,5.08,,4.38,4.29,12.4
19,BAL,162,83,79,46,703,162,1433.1,7.62,2.78,1.07,0.296,73.20%,43.20%,10.90%,93.5,3.97,,4.03,4.1,11.7
20,MIN,162,78,84,28,710,162,1437,8.37,2.93,1.15,0.285,73.30%,40.00%,11.00%,92.8,3.98,,4.03,4.1,10.7
21,BOS,162,78,84,39,738,162,1431,8.47,3.31,1.16,0.304,69.80%,42.80%,11.80%,94.1,4.53,,4.17,4.11,10.2
22,TEX,162,68,94,37,694,162,1435,8.24,3.64,1.06,0.292,71.20%,45.90%,11.90%,94.7,4.22,,4.18,4.11,10.1
23,CIN,162,62,100,31,736,162,1423.1,8.94,3.87,1.35,0.298,71.10%,40.60%,13.30%,94.7,4.86,,4.59,4.31,10.1
24,DET,162,66,96,38,742,162,1419.2,7.58,3.24,1.06,0.284,71.30%,41.70%,10.20%,93,4.04,,4.16,4.34,9.8
25,PIT,162,62,100,33,666,162,1421,7.92,3.71,1.04,0.304,68.70%,43.90%,10.90%,93.8,4.66,,4.27,4.34,8.9
26,CHC,162,74,88,44,690,162,1443.2,8.62,3.37,1.29,0.287,73.50%,43.10%,13.50%,92.8,4.03,,4.33,4.04,8.9
27,KCR,162,65,97,33,722,162,1416,7.57,3.74,1.1,0.312,70.30%,43.80%,11.20%,93.9,4.72,,4.42,4.44,8
28,ARI,162,74,88,33,708,162,1430,7.65,3.17,1.2,0.282,71.20%,39.80%,11.50%,92.6,4.25,,4.33,4.32,6.7
29,OAK,162,60,102,34,692,162,1426.1,7.59,3.17,1.23,0.289,70.70%,41.40%,11.50%,92.9,4.54,,4.41,4.39,3.9
30,WSN,162,55,107,28,750,162,1411.2,7.78,3.56,1.56,0.297,70.80%,41.50%,14.40%,93.7,5,,4.98,4.51,0.5
