#,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,PHI,162,90,72,45,685,162,1442.1,9.07,2.93,1.15,0.29,71.20%,44.00%,12.60%,94.2,4.03,,4,4.02,24.4
2,TBR,162,99,63,45,698,162,1442,9.41,2.74,1.1,0.284,72.40%,44.30%,12.40%,95.1,3.87,,3.8,3.84,20.6
3,SEA,162,88,74,44,712,162,1449.1,9.06,2.61,1.14,0.287,73.60%,43.10%,12.20%,95.1,3.74,,3.88,3.95,20.1
4,MIN,162,87,75,38,650,162,1451.1,9.67,2.75,1.2,0.292,74.70%,41.40%,12.30%,93.8,3.87,,3.89,3.94,19.7
5,TOR,162,89,73,51,712,162,1451.2,9.47,3.03,1.23,0.295,75.40%,41.10%,12.90%,94.3,3.79,,4.06,4.03,18.6
6,BAL,162,101,61,49,722,162,1453.2,8.86,2.93,1.1,0.293,73.50%,43.70%,12.00%,94.6,3.91,,3.98,4.08,18.2
7,SDP,162,82,80,36,669,162,1441,9.02,3.48,1.09,0.286,75.60%,44.70%,12.50%,94.1,3.73,,4.14,4.17,18.1
8,MIA,162,84,78,43,706,162,1435.1,9.34,3.22,1.2,0.3,72.50%,44.60%,13.20%,95.3,4.21,,4.13,4.07,17.5
9,CHC,162,83,79,35,672,162,1435.1,8.63,3.22,1.12,0.291,71.50%,44.10%,12.50%,94,4.09,,4.16,4.19,16.9
10,LAD,162,100,62,44,713,162,1446.1,8.64,2.83,1.24,0.278,72.60%,42.30%,13.00%,94.1,4.06,,4.23,4.19,16.8
11,ATL,162,104,58,52,694,162,1440,9.47,3.34,1.17,0.301,73.00%,42.50%,12.70%,94.5,4.14,,4.1,4.1,16.6
12,MIL,162,92,70,46,680,162,1443,8.89,3.07,1.23,0.267,75.20%,43.30%,13.40%,93.8,3.73,,4.21,4.13,15.9
13,TEX,162,90,72,30,629,162,1436.1,8.47,3.08,1.24,0.288,72.60%,42.00%,12.50%,93.9,4.28,,4.31,4.35,15.2
14,HOU,162,90,72,42,675,162,1445.1,9.09,3.34,1.25,0.29,74.60%,41.70%,12.80%,94.4,3.94,,4.31,4.3,15.2
15,CLE,162,76,86,47,707,162,1444,8.17,3.33,1.08,0.289,73.20%,40.90%,10.60%,93.4,3.97,,4.21,4.52,14.6
16,SFG,162,79,83,50,658,162,1434.2,8.53,2.53,1.09,0.303,70.70%,48.70%,13.20%,93.5,4.02,,3.92,3.86,14.5
17,DET,162,78,84,41,697,162,1442.1,8.57,2.97,1.17,0.284,69.80%,42.90%,12.00%,93,4.24,,4.13,4.24,14.5
18,CIN,162,82,80,53,767,162,1439.1,8.64,3.83,1.39,0.3,71.80%,38.70%,13.10%,94.1,4.83,,4.79,4.74,14.2
19,STL,162,71,91,36,646,162,1428.1,7.66,3.34,1.13,0.32,69.40%,45.40%,11.90%,93.9,4.83,,4.43,4.54,14
20,BOS,162,78,84,43,676,162,1430,8.96,3.13,1.31,0.305,71.60%,43.90%,13.80%,94.6,4.52,,4.37,4.23,13.8
21,NYY,162,82,80,44,665,162,1439.2,9,3.18,1.22,0.28,73.30%,43.60%,12.90%,95,3.97,,4.25,4.22,13.4
22,ARI,162,84,78,44,709,162,1435.1,8.47,3.29,1.24,0.296,71.00%,41.70%,12.70%,93.2,4.48,,4.35,4.36,13
23,PIT,162,76,86,47,691,162,1430,8.58,3.75,1.13,0.299,70.10%,43.00%,12.00%,94.4,4.61,,4.4,4.5,11.7
24,LAA,162,73,89,43,653,162,1431.2,9.08,4,1.31,0.302,70.60%,40.20%,12.90%,94.2,4.64,,4.65,4.63,11.3
25,NYM,162,75,87,34,684,162,1416.1,8.88,3.78,1.21,0.297,73.50%,42.00%,12.50%,94.1,4.3,,4.47,4.5,10.4
26,CHW,162,61,101,28,683,162,1431.2,9.24,4.11,1.35,0.299,70.20%,40.30%,13.40%,94.7,4.88,,4.71,4.61,10
27,KCR,162,56,106,28,688,162,1409,8.11,3.53,1.32,0.303,67.80%,41.50%,12.80%,94,5.17,,4.7,4.68,7.6
28,COL,162,59,103,32,706,162,1414,7.19,3.73,1.49,0.319,67.60%,41.40%,14.00%,92.6,5.68,,5.24,5.04,5.9
29,WSN,162,71,91,42,688,162,1428.1,7.72,3.73,1.54,0.305,72.50%,41.30%,14.90%,94.4,5.02,,5.15,4.83,5.5
30,OAK,162,50,112,29,694,162,1419.2,8.24,4.4,1.35,0.307,68.10%,37.60%,12.00%,93.9,5.48,,5.05,5.17,1.7
